,name,count,pctwhite,pctapi,NonWhite,API,Year
0,SMITH,2376206,73.35,0.4,0,0,2000
1,JOHNSON,1857160,61.55,0.42,0,0,2000
2,WILLIAMS,1534042,48.52,0.37,0,0,2000
3,BROWN,1380145,60.71,0.41,0,0,2000
4,JONES,1362755,57.69,0.35,0,0,2000
5,MILLER,1127803,85.81,0.42,0,0,2000
6,DAVIS,1072335,64.73,0.4,0,0,2000
7,GARCIA,858289,6.17,1.43,1,0,2000
8,RODRIGUEZ,804240,5.52,0.58,1,0,2000
9,WILSON,783051,69.72,0.46,0,0,2000
10,MARTINEZ,775072,6.04,0.6,1,0,2000
11,ANDERSON,762394,77.6,0.48,0,0,2000
12,TAYLOR,720370,67.8,0.39,0,0,2000
13,THOMAS,710696,55.53,1.63,0,0,2000
14,HERNANDEZ,706372,4.55,0.65,1,0,2000
15,MOORE,698671,68.85,0.37,0,0,2000
16,MARTIN,672711,77.47,0.71,0,0,2000
17,JACKSON,666125,41.93,0.31,0,0,2000
18,THOMPSON,644368,72.48,0.44,0,0,2000
19,WHITE,639515,67.91,0.39,0,0,2000
20,LOPEZ,621536,5.85,1.04,1,0,2000
21,LEE,605860,40.09,37.83,0,0,2000
22,GONZALEZ,597718,4.76,0.38,1,0,2000
23,HARRIS,593542,53.88,0.36,0,0,2000
24,CLARK,548369,76.84,0.41,0,0,2000
25,LEWIS,509930,60.97,0.45,0,0,2000
26,ROBINSON,503028,51.34,0.37,0,0,2000
27,WALKER,501307,61.25,0.35,0,0,2000
28,PEREZ,488521,5.95,1.18,1,0,2000
29,HALL,473568,75.11,0.48,0,0,2000
30,YOUNG,465948,68.91,2.95,0,0,2000
31,ALLEN,463368,70.24,0.41,0,0,2000
32,SANCHEZ,441242,5.77,1.01,1,0,2000
33,WRIGHT,440367,68.3,0.4,0,0,2000
34,KING,438986,72.8,0.88,0,0,2000
35,SCOTT,420091,62.6,0.41,0,0,2000
36,GREEN,413477,59.33,0.34,0,0,2000
37,BAKER,413351,82.08,0.45,0,0,2000
38,ADAMS,413086,76.17,0.45,0,0,2000
39,NELSON,412236,80.29,0.51,0,0,2000
40,HILL,411770,66.83,0.42,0,0,2000
41,RAMIREZ,388987,4.4,0.97,1,0,2000
42,CAMPBELL,371953,76.47,0.43,0,0,2000
43,MITCHELL,367433,63.55,0.39,0,0,2000
44,ROBERTS,366215,79.56,0.47,0,0,2000
45,CARTER,362548,60.51,0.39,0,0,2000
46,PHILLIPS,351848,78.95,0.45,0,0,2000
47,EVANS,342237,70.65,0.4,0,0,2000
48,TURNER,335663,66.67,0.33,0,0,2000
49,TORRES,325169,6.05,1.42,1,0,2000
50,PARKER,324246,71.49,0.44,0,0,2000
51,COLLINS,317848,73.92,0.37,0,0,2000
52,EDWARDS,317070,65.16,0.4,0,0,2000
53,STEWART,312899,71.78,0.38,0,0,2000
54,FLORES,312615,5.57,2.15,1,0,2000
55,MORRIS,311754,75.92,0.43,0,0,2000
56,NGUYEN,310125,1.26,95.93,1,1,2000
57,MURPHY,300501,85.05,0.43,0,0,2000
58,RIVERA,299463,5.92,2.06,1,0,2000
59,COOK,294795,83.52,0.44,0,0,2000
60,ROGERS,294403,77.8,0.42,0,0,2000
61,MORGAN,276400,78.47,0.42,0,0,2000
62,PETERSON,275041,86.29,0.52,0,0,2000
63,COOPER,270097,70.36,0.4,0,0,2000
64,REED,267443,73.51,0.4,0,0,2000
65,BAILEY,265916,74.77,0.4,0,0,2000
66,BELL,264752,63.57,0.41,0,0,2000
67,GOMEZ,263590,6.1,1.04,1,0,2000
68,KELLY,260385,80.39,0.49,0,0,2000
69,HOWARD,254779,66.83,0.38,0,0,2000
70,WARD,254121,77.79,0.4,0,0,2000
71,COX,253771,84.48,0.39,0,0,2000
72,DIAZ,251772,6.17,1.19,1,0,2000
73,RICHARDSON,249533,62.25,0.36,0,0,2000
74,WOOD,247299,90.06,0.51,0,0,2000
75,WATSON,242432,68.58,0.47,0,0,2000
76,BROOKS,240751,62.72,0.41,0,0,2000
77,BENNETT,239055,79.0,0.41,0,0,2000
78,GRAY,236713,71.13,0.44,0,0,2000
79,JAMES,233224,54.45,0.81,0,0,2000
80,REYES,232511,5.26,6.02,1,0,2000
81,CRUZ,231065,5.95,5.61,1,0,2000
82,HUGHES,229390,80.6,0.39,0,0,2000
83,PRICE,228756,76.11,0.42,0,0,2000
84,MYERS,224824,86.59,0.38,0,0,2000
85,LONG,223494,82.35,1.78,0,0,2000
86,FOSTER,221040,72.0,0.46,0,0,2000
87,SANDERS,220902,63.44,0.33,0,0,2000
88,ROSS,219961,71.46,0.46,0,0,2000
89,MORALES,217642,5.6,1.24,1,0,2000
90,POWELL,216553,69.96,0.38,0,0,2000
91,SULLIVAN,215640,89.45,0.46,0,0,2000
92,RUSSELL,215432,79.45,0.43,0,0,2000
93,ORTIZ,214683,5.4,0.68,1,0,2000
94,JENKINS,213737,60.12,0.33,0,0,2000
95,GUTIERREZ,212905,5.21,1.4,1,0,2000
96,PERRY,212644,70.71,0.46,0,0,2000
97,BUTLER,210879,64.75,0.35,0,0,2000
98,BARNES,210426,67.45,0.4,0,0,2000
99,FISHER,210279,84.59,0.42,0,0,2000
100,HENDERSON,210094,62.18,0.38,0,0,2000
101,COLEMAN,208624,52.04,0.33,0,0,2000
102,SIMMONS,201650,60.55,0.35,0,0,2000
103,PATTERSON,198557,70.09,0.37,0,0,2000
104,JORDAN,197212,64.3,0.44,0,0,2000
105,REYNOLDS,195598,83.28,0.42,0,0,2000
106,HAMILTON,194331,72.79,0.44,0,0,2000
107,GRAHAM,194074,72.84,0.42,0,0,2000
108,KIM,194067,2.6,94.52,1,1,2000
109,GONZALES,193934,10.0,3.1,1,0,2000
110,ALEXANDER,193443,60.91,0.91,0,0,2000
111,RAMOS,193096,7.2,5.04,1,0,2000
112,WALLACE,190760,71.76,0.43,0,0,2000
113,GRIFFIN,190636,66.46,0.34,0,0,2000
114,WEST,188464,77.69,0.39,0,0,2000
115,COLE,187793,77.59,0.43,0,0,2000
116,HAYES,187473,71.64,0.38,0,0,2000
117,CHAVEZ,185865,5.65,0.59,1,0,2000
118,GIBSON,184420,74.57,0.36,0,0,2000
119,BRYANT,183761,60.97,0.3,0,0,2000
120,ELLIS,181934,72.82,0.44,0,0,2000
121,STEVENS,181417,83.4,0.53,0,0,2000
122,MURRAY,178414,77.59,0.48,0,0,2000
123,FORD,178397,64.28,0.37,0,0,2000
124,MARSHALL,177213,68.89,0.42,0,0,2000
125,OWENS,176334,68.09,0.31,0,0,2000
126,MCDONALD,176094,79.19,0.43,0,0,2000
127,HARRISON,175577,71.0,0.42,0,0,2000
128,RUIZ,175429,6.12,1.01,1,0,2000
129,KENNEDY,171636,82.97,0.46,0,0,2000
130,WELLS,170635,76.31,0.37,0,0,2000
131,ALVAREZ,168817,6.61,1.15,1,0,2000
132,WOODS,168814,60.68,0.35,0,0,2000
133,MENDOZA,168567,4.93,5.2,1,0,2000
134,CASTILLO,165473,5.62,3.26,1,0,2000
135,OLSON,163502,96.03,0.54,0,0,2000
136,WEBB,163481,77.74,0.38,0,0,2000
137,WASHINGTON,163036,5.16,0.25,1,0,2000
138,TUCKER,162933,72.06,0.33,0,0,2000
139,FREEMAN,162686,67.96,0.37,0,0,2000
140,BURNS,162153,82.18,0.45,0,0,2000
141,HENRY,161392,65.06,0.57,0,0,2000
142,VASQUEZ,159989,5.49,0.69,1,0,2000
143,SNYDER,159363,95.37,0.46,0,0,2000
144,SIMPSON,158241,73.29,0.44,0,0,2000
145,CRAWFORD,158121,71.31,0.4,0,0,2000
146,JIMENEZ,157475,4.46,1.53,1,0,2000
147,PORTER,156848,71.19,0.42,0,0,2000
148,MASON,155484,70.99,0.42,0,0,2000
149,SHAW,155172,74.67,1.24,0,0,2000
150,GORDON,154934,67.75,0.45,0,0,2000
151,WAGNER,154516,93.97,0.43,0,0,2000
152,HUNTER,154410,62.92,0.4,0,0,2000
153,ROMERO,153772,10.44,1.34,1,0,2000
154,HICKS,153618,69.46,0.37,0,0,2000
155,DIXON,152015,57.05,0.38,0,0,2000
156,HUNT,151986,76.03,0.48,0,0,2000
157,PALMER,150407,77.87,0.45,0,0,2000
158,ROBERTSON,150299,75.35,0.41,0,0,2000
159,BLACK,150186,76.65,0.42,0,0,2000
160,HOLMES,150166,59.22,0.31,0,0,2000
161,STONE,149802,87.4,0.55,0,0,2000
162,MEYER,149664,96.07,0.57,0,0,2000
163,BOYD,149476,65.64,0.41,0,0,2000
164,MILLS,147909,79.7,0.4,0,0,2000
165,WARREN,147906,72.5,0.43,0,0,2000
166,FOX,147357,89.82,0.55,0,0,2000
167,ROSE,146924,84.23,0.52,0,0,2000
168,RICE,146440,79.65,0.4,0,0,2000
169,MORENO,146088,7.05,0.64,1,0,2000
170,SCHMIDT,145565,96.48,0.46,0,0,2000
171,PATEL,145066,1.55,91.37,1,1,2000
172,FERGUSON,142256,77.54,0.44,0,0,2000
173,NICHOLS,141936,84.29,0.41,0,0,2000
174,HERRERA,140786,5.6,1.01,1,0,2000
175,MEDINA,139353,6.39,1.95,1,0,2000
176,RYAN,139335,93.33,0.64,0,0,2000
177,FERNANDEZ,139302,11.35,5.17,1,0,2000
178,WEAVER,138811,85.71,0.4,0,0,2000
179,DANIELS,138776,57.17,0.44,0,0,2000
180,STEPHENS,138742,76.54,0.37,0,0,2000
181,GARDNER,138660,77.23,0.44,0,0,2000
182,PAYNE,138028,73.69,0.35,0,0,2000
183,KELLEY,137555,85.81,0.47,0,0,2000
184,DUNN,136955,82.35,0.63,0,0,2000
185,PIERCE,136517,82.72,0.4,0,0,2000
186,ARNOLD,136315,83.35,0.43,0,0,2000
187,TRAN,136095,1.56,95.61,1,1,2000
188,SPENCER,134443,71.71,0.69,0,0,2000
189,PETERS,134231,85.16,0.78,0,0,2000
190,HAWKINS,134066,63.6,0.37,0,0,2000
191,GRANT,134034,58.25,0.41,0,0,2000
192,HANSEN,133474,95.64,0.6,0,0,2000
193,CASTRO,133254,8.72,3.83,1,0,2000
194,HOFFMAN,132645,95.45,0.44,0,0,2000
195,HART,132466,82.71,0.46,0,0,2000
196,ELLIOTT,132457,83.87,0.42,0,0,2000
197,CUNNINGHAM,131896,75.56,0.41,0,0,2000
198,KNIGHT,131860,74.79,0.4,0,0,2000
199,BRADLEY,131289,71.21,0.4,0,0,2000
200,CARROLL,131020,85.05,0.44,0,0,2000
201,HUDSON,130793,69.35,0.39,0,0,2000
202,DUNCAN,130419,78.88,0.39,0,0,2000
203,ARMSTRONG,129982,74.96,0.47,0,0,2000
204,BERRY,129405,73.27,0.44,0,0,2000
205,ANDREWS,129320,74.23,0.59,0,0,2000
206,JOHNSTON,128935,93.13,0.52,0,0,2000
207,RAY,128794,77.59,1.25,0,0,2000
208,LANE,128727,79.36,0.5,0,0,2000
209,RILEY,127960,75.08,0.39,0,0,2000
210,CARPENTER,127073,88.07,0.45,0,0,2000
211,PERKINS,126951,71.52,0.43,0,0,2000
212,AGUILAR,126399,4.7,1.74,1,0,2000
213,SILVA,126164,33.68,1.82,0,0,2000
214,RICHARDS,125653,81.74,0.53,0,0,2000
215,WILLIS,125627,64.74,0.46,0,0,2000
216,MATTHEWS,124839,66.21,0.49,0,0,2000
217,CHAPMAN,124614,81.57,0.42,0,0,2000
218,LAWRENCE,124321,71.93,0.58,0,0,2000
219,GARZA,124130,6.59,0.15,1,0,2000
220,VARGAS,123952,6.2,0.84,1,0,2000
221,WATKINS,122447,64.54,0.33,0,0,2000
222,WHEELER,121684,82.79,0.41,0,0,2000
223,LARSON,121064,96.13,0.55,0,0,2000
224,CARLSON,120124,96.22,0.54,0,0,2000
225,HARPER,119868,70.12,0.36,0,0,2000
226,GEORGE,119778,71.44,4.67,0,0,2000
227,GREENE,119604,70.34,0.39,0,0,2000
228,BURKE,119175,87.74,0.48,0,0,2000
229,GUZMAN,118390,4.73,1.44,1,0,2000
230,MORRISON,117939,81.68,0.5,0,0,2000
231,MUNOZ,117774,5.52,0.88,1,0,2000
232,JACOBS,115540,76.65,0.48,0,0,2000
233,OBRIEN,115385,95.31,0.53,0,0,2000
234,LAWSON,115186,76.3,0.33,0,0,2000
235,FRANKLIN,114859,57.22,0.45,0,0,2000
236,LYNCH,114448,84.22,0.43,0,0,2000
237,BISHOP,114034,86.38,0.46,0,0,2000
238,CARR,113892,75.79,0.36,0,0,2000
239,SALAZAR,113468,6.14,1.59,1,0,2000
240,AUSTIN,113160,69.57,0.5,0,0,2000
241,MENDEZ,112736,5.27,0.47,1,0,2000
242,GILBERT,112406,80.31,0.42,0,0,2000
243,JENSEN,112332,95.44,0.58,0,0,2000
244,WILLIAMSON,112216,79.22,0.39,0,0,2000
245,MONTGOMERY,112144,70.22,0.45,0,0,2000
246,HARVEY,112136,70.7,0.41,0,0,2000
247,OLIVER,111641,66.74,0.54,0,0,2000
248,HOWELL,109634,81.31,0.36,0,0,2000
249,DEAN,109230,78.74,0.81,0,0,2000
250,HANSON,109079,93.87,0.57,0,0,2000
251,WEBER,107866,95.58,0.46,0,0,2000
252,GARRETT,107777,72.43,0.31,0,0,2000
253,SIMS,107244,56.84,0.32,0,0,2000
254,BURTON,107158,69.73,0.41,0,0,2000
255,FULLER,106682,75.53,0.46,0,0,2000
256,SOTO,106631,5.94,0.47,1,0,2000
257,MCCOY,106481,69.0,0.38,0,0,2000
258,WELCH,105804,85.6,0.45,0,0,2000
259,CHEN,105544,1.68,95.45,1,1,2000
260,SCHULTZ,104962,96.24,0.42,0,0,2000
261,WALTERS,104281,85.31,0.46,0,0,2000
262,REID,104007,63.24,0.47,0,0,2000
263,FIELDS,103242,59.74,0.33,0,0,2000
264,WALSH,103216,95.9,0.49,0,0,2000
265,LITTLE,102718,72.28,0.36,0,0,2000
266,FOWLER,102620,83.34,0.4,0,0,2000
267,BOWMAN,102239,82.9,0.42,0,0,2000
268,DAVIDSON,102044,86.25,0.46,0,0,2000
269,MAY,101726,85.54,0.94,0,0,2000
270,DAY,101676,85.18,0.7,0,0,2000
271,SCHNEIDER,100553,96.67,0.43,0,0,2000
272,NEWMAN,100491,84.97,0.49,0,0,2000
273,BREWER,100465,83.34,0.33,0,0,2000
274,LUCAS,100417,73.57,1.35,0,0,2000
275,HOLLAND,99885,78.86,0.36,0,0,2000
276,WONG,99392,3.33,88.5,1,1,2000
277,BANKS,99294,41.3,0.3,0,0,2000
278,SANTOS,98993,21.93,13.21,1,0,2000
279,CURTIS,98958,79.88,0.41,0,0,2000
280,PEARSON,98728,74.49,0.47,0,0,2000
281,DELGADO,98675,6.45,0.71,1,0,2000
282,VALDEZ,98610,6.84,3.36,1,0,2000
283,PENA,98345,5.92,1.05,1,0,2000
284,RIOS,96569,5.33,0.39,1,0,2000
285,DOUGLAS,96425,61.34,0.43,0,0,2000
286,SANDOVAL,96303,6.0,0.55,1,0,2000
287,BARRETT,95896,83.22,0.57,0,0,2000
288,HOPKINS,94603,75.56,0.42,0,0,2000
289,KELLER,94300,92.93,0.42,0,0,2000
290,GUERRERO,94152,5.16,2.36,1,0,2000
291,STANLEY,93817,81.04,0.52,0,0,2000
292,BATES,93743,77.09,0.41,0,0,2000
293,ALVARADO,93723,4.79,0.6,1,0,2000
294,BECK,93161,91.73,0.58,0,0,2000
295,ORTEGA,93131,5.69,1.1,1,0,2000
296,WADE,92834,67.49,0.36,0,0,2000
297,ESTRADA,92831,5.23,1.77,1,0,2000
298,CONTRERAS,92660,4.72,0.62,1,0,2000
299,BARNETT,92287,78.75,0.36,0,0,2000
300,CALDWELL,91338,70.27,0.34,0,0,2000
301,SANTIAGO,90967,5.86,4.43,1,0,2000
302,LAMBERT,90618,85.71,0.46,0,0,2000
303,POWERS,90401,91.01,0.51,0,0,2000
304,CHAMBERS,90325,68.8,0.36,0,0,2000
305,NUNEZ,90208,6.44,0.8,1,0,2000
306,CRAIG,89591,81.17,0.5,0,0,2000
307,LEONARD,89198,82.59,0.45,0,0,2000
308,LOWE,89178,75.29,1.66,0,0,2000
309,RHODES,88917,77.16,0.32,0,0,2000
310,BYRD,88811,61.25,0.26,0,0,2000
311,GREGORY,88810,80.87,0.43,0,0,2000
312,SHELTON,88326,76.18,0.36,0,0,2000
313,FRAZIER,88325,59.05,0.37,0,0,2000
314,BECKER,88114,96.4,0.45,0,0,2000
315,MALDONADO,88016,5.53,0.33,1,0,2000
316,FLEMING,87949,74.59,0.44,0,0,2000
317,VEGA,87728,6.46,0.65,1,0,2000
318,SUTTON,87373,75.08,0.37,0,0,2000
319,COHEN,87226,90.63,0.42,0,0,2000
320,JENNINGS,87038,73.38,0.54,0,0,2000
321,PARKS,86346,71.48,0.53,0,0,2000
322,MCDANIEL,86317,78.48,0.3,0,0,2000
323,WATTS,86228,70.81,0.35,0,0,2000
324,BARKER,85221,88.54,0.48,0,0,2000
325,NORRIS,85212,82.01,0.37,0,0,2000
326,VAUGHN,85037,73.63,0.33,0,0,2000
327,VAZQUEZ,84926,4.6,0.19,1,0,2000
328,HOLT,84710,81.19,0.52,0,0,2000
329,SCHWARTZ,84699,96.77,0.46,0,0,2000
330,STEELE,84353,80.39,0.41,0,0,2000
331,BENSON,84233,79.98,0.61,0,0,2000
332,NEAL,83849,64.69,0.42,0,0,2000
333,DOMINGUEZ,83731,6.16,1.15,1,0,2000
334,HORTON,83523,72.15,0.4,0,0,2000
335,TERRY,83437,68.82,0.41,0,0,2000
336,WOLFE,83112,92.29,0.43,0,0,2000
337,HALE,82955,83.99,0.46,0,0,2000
338,LYONS,82258,76.88,0.45,0,0,2000
339,GRAVES,82179,71.95,0.37,0,0,2000
340,HAYNES,82037,63.72,0.3,0,0,2000
341,MILES,81933,63.61,0.43,0,0,2000
342,PARK,81890,30.06,66.3,1,0,2000
343,WARNER,81824,86.32,0.51,0,0,2000
344,PADILLA,81805,6.94,2.07,1,0,2000
345,BUSH,81524,74.14,0.52,0,0,2000
346,THORNTON,81191,69.33,0.37,0,0,2000
347,MCCARTHY,81035,93.9,0.54,0,0,2000
348,MANN,81022,83.1,2.41,0,0,2000
349,ZIMMERMAN,80944,94.81,0.43,0,0,2000
350,ERICKSON,80936,96.39,0.5,0,0,2000
351,FLETCHER,80932,75.52,0.47,0,0,2000
352,MCKINNEY,80616,71.57,0.29,0,0,2000
353,PAGE,80493,77.16,0.48,0,0,2000
354,DAWSON,80190,70.48,0.48,0,0,2000
355,JOSEPH,80030,35.48,6.91,0,0,2000
356,MARQUEZ,79951,5.69,2.79,1,0,2000
357,REEVES,79817,79.79,0.46,0,0,2000
358,KLEIN,79685,96.53,0.4,0,0,2000
359,ESPINOZA,79322,4.38,0.37,1,0,2000
360,BALDWIN,79151,79.12,0.41,0,0,2000
361,MORAN,78546,71.43,0.55,0,0,2000
362,LOVE,78323,59.3,0.45,0,0,2000
363,ROBBINS,78141,89.09,0.41,0,0,2000
364,HIGGINS,78107,85.92,0.41,0,0,2000
365,BALL,77561,84.53,0.43,0,0,2000
366,CORTEZ,77492,7.03,2.79,1,0,2000
367,LE,77453,1.83,95.15,1,1,2000
368,GRIFFITH,77429,85.82,0.37,0,0,2000
369,BOWEN,77078,84.52,0.41,0,0,2000
370,SHARP,76868,85.12,0.45,0,0,2000
371,CUMMINGS,76707,75.47,0.68,0,0,2000
372,RAMSEY,76625,79.54,0.34,0,0,2000
373,HARDY,76608,63.67,0.39,0,0,2000
374,SWANSON,76539,92.01,0.55,0,0,2000
375,BARBER,76504,77.88,0.55,0,0,2000
376,ACOSTA,76477,8.04,2.36,1,0,2000
377,LUNA,76127,9.78,2.0,1,0,2000
378,CHANDLER,76114,76.77,0.5,0,0,2000
379,BLAIR,75135,82.13,0.47,0,0,2000
380,DANIEL,75135,67.02,2.12,0,0,2000
381,CROSS,75134,77.68,0.41,0,0,2000
382,SIMON,74839,69.94,1.98,0,0,2000
383,DENNIS,74784,68.5,0.44,0,0,2000
384,OCONNOR,74756,94.75,0.58,0,0,2000
385,QUINN,74531,88.13,0.52,0,0,2000
386,GROSS,74285,86.61,0.41,0,0,2000
387,NAVARRO,73970,7.9,4.1,1,0,2000
388,MOSS,73750,71.87,0.37,0,0,2000
389,FITZGERALD,73522,88.03,0.49,0,0,2000
390,DOYLE,73518,90.74,0.46,0,0,2000
391,MCLAUGHLIN,73128,89.65,0.42,0,0,2000
392,ROJAS,73071,4.77,0.85,1,0,2000
393,RODGERS,73021,72.92,0.42,0,0,2000
394,STEVENSON,72892,65.79,0.45,0,0,2000
395,SINGH,72642,3.51,74.44,1,1,2000
396,YANG,72627,0.95,95.03,1,1,2000
397,FIGUEROA,72533,5.46,0.99,1,0,2000
398,HARMON,72414,80.01,0.39,0,0,2000
399,NEWTON,72328,77.9,0.44,0,0,2000
400,PAUL,72248,73.8,3.63,0,0,2000
401,MANNING,72069,76.64,0.42,0,0,2000
402,GARNER,72052,74.14,0.37,0,0,2000
403,MCGEE,71925,64.94,0.35,0,0,2000
404,REESE,71754,68.17,0.35,0,0,2000
405,FRANCIS,71723,63.89,1.3,0,0,2000
406,BURGESS,71604,77.77,0.56,0,0,2000
407,ADKINS,71528,88.92,0.28,0,0,2000
408,GOODMAN,71482,80.66,0.43,0,0,2000
409,CURRY,71344,61.73,0.42,0,0,2000
410,BRADY,71175,89.02,0.46,0,0,2000
411,CHRISTENSEN,71144,95.86,0.51,0,0,2000
412,POTTER,71103,90.33,0.47,0,0,2000
413,WALTON,70997,62.56,0.32,0,0,2000
414,GOODWIN,70333,78.97,0.41,0,0,2000
415,MULLINS,70286,89.92,0.3,0,0,2000
416,MOLINA,70211,6.6,2.34,1,0,2000
417,WEBSTER,70123,76.16,0.48,0,0,2000
418,FISCHER,70095,95.71,0.45,0,0,2000
419,CAMPOS,69950,7.55,1.5,1,0,2000
420,AVILA,69843,8.33,0.94,1,0,2000
421,SHERMAN,69840,84.91,0.46,0,0,2000
422,TODD,69810,82.81,0.47,0,0,2000
423,CHANG,69756,2.28,90.13,1,1,2000
424,BLAKE,69279,74.04,0.42,0,0,2000
425,MALONE,69257,69.8,0.43,0,0,2000
426,WOLF,68905,94.96,0.48,0,0,2000
427,HODGES,68868,75.92,0.42,0,0,2000
428,JUAREZ,68785,4.08,0.43,1,0,2000
429,GILL,68699,70.9,8.35,0,0,2000
430,FARMER,68309,79.01,0.34,0,0,2000
431,HINES,68145,60.48,0.38,0,0,2000
432,GALLAGHER,68075,96.08,0.46,0,0,2000
433,DURAN,68046,11.58,1.09,1,0,2000
434,HUBBARD,68021,73.47,0.34,0,0,2000
435,CANNON,67923,72.24,0.38,0,0,2000
436,MIRANDA,67646,14.34,4.08,1,0,2000
437,WANG,67570,3.25,94.47,1,1,2000
438,SAUNDERS,67210,69.67,0.44,0,0,2000
439,TATE,67208,58.16,0.47,0,0,2000
440,MACK,67154,47.35,0.6,0,0,2000
441,HAMMOND,67063,80.78,0.43,0,0,2000
442,CARRILLO,67054,6.04,0.73,1,0,2000
443,TOWNSEND,66853,70.59,0.43,0,0,2000
444,WISE,66738,80.67,0.5,0,0,2000
445,INGRAM,66665,63.69,0.31,0,0,2000
446,BARTON,66622,87.13,0.43,0,0,2000
447,MEJIA,66534,3.99,1.44,1,0,2000
448,AYALA,66515,4.77,0.48,1,0,2000
449,SCHROEDER,66412,96.74,0.48,0,0,2000
450,HAMPTON,66378,56.28,0.34,0,0,2000
451,ROWE,66205,82.19,0.51,0,0,2000
452,PARSONS,66203,92.71,0.41,0,0,2000
453,FRANK,65918,86.69,0.7,0,0,2000
454,WATERS,65817,75.27,0.37,0,0,2000
455,STRICKLAND,65814,78.49,0.36,0,0,2000
456,OSBORNE,65802,83.98,0.38,0,0,2000
457,MAXWELL,65779,75.79,0.43,0,0,2000
458,CHAN,65719,2.72,91.01,1,1,2000
459,DELEON,65598,7.55,8.29,1,0,2000
460,NORMAN,65269,71.58,0.42,0,0,2000
461,HARRINGTON,65131,83.92,0.53,0,0,2000
462,CASEY,64815,88.51,0.49,0,0,2000
463,PATTON,64772,75.56,0.39,0,0,2000
464,LOGAN,64576,67.08,0.56,0,0,2000
465,BOWERS,64496,85.34,0.38,0,0,2000
466,MUELLER,64305,96.96,0.48,0,0,2000
467,GLOVER,64180,54.91,0.36,0,0,2000
468,FLOYD,64141,67.94,0.31,0,0,2000
469,HARTMAN,63827,95.42,0.44,0,0,2000
470,BUCHANAN,63825,79.92,0.48,0,0,2000
471,COBB,63739,72.07,0.35,0,0,2000
472,FRENCH,63149,87.74,0.49,0,0,2000
473,KRAMER,63023,96.47,0.46,0,0,2000
474,MCCORMICK,62663,89.1,0.41,0,0,2000
475,CLARKE,62546,66.14,0.52,0,0,2000
476,TYLER,62534,64.08,0.43,0,0,2000
477,GIBBS,62514,67.84,0.39,0,0,2000
478,MOODY,62344,72.99,0.37,0,0,2000
479,CONNER,62335,80.81,0.38,0,0,2000
480,SPARKS,62234,85.92,0.4,0,0,2000
481,MCGUIRE,62116,89.56,0.53,0,0,2000
482,LEON,62034,13.02,1.16,1,0,2000
483,BAUER,61979,96.34,0.45,0,0,2000
484,NORTON,61805,89.66,0.43,0,0,2000
485,POPE,61750,72.86,0.36,0,0,2000
486,FLYNN,61747,93.64,0.48,0,0,2000
487,HOGAN,61651,82.38,0.41,0,0,2000
488,ROBLES,61619,5.88,2.05,1,0,2000
489,SALINAS,61582,5.68,0.98,1,0,2000
490,YATES,61400,82.61,0.44,0,0,2000
491,LINDSEY,61199,70.65,0.74,0,0,2000
492,LLOYD,61154,74.91,0.47,0,0,2000
493,MARSH,60999,85.01,0.42,0,0,2000
494,MCBRIDE,60874,76.51,0.38,0,0,2000
495,OWEN,60461,93.36,0.55,0,0,2000
496,SOLIS,60045,5.86,1.57,1,0,2000
497,PHAM,59949,1.31,95.86,1,1,2000
498,LANG,59843,84.16,2.34,0,0,2000
499,PRATT,59801,80.27,0.53,0,0,2000
500,LARA,59731,6.28,1.07,1,0,2000
501,BROCK,59682,85.02,0.33,0,0,2000
502,BALLARD,59660,77.29,0.29,0,0,2000
503,TRUJILLO,59609,9.07,0.22,1,0,2000
504,SHAFFER,59227,94.61,0.4,0,0,2000
505,DRAKE,59055,81.84,0.41,0,0,2000
506,ROMAN,59020,25.56,0.94,1,0,2000
507,AGUIRRE,58918,6.28,1.19,1,0,2000
508,MORTON,58788,75.94,0.51,0,0,2000
509,STOKES,58687,60.78,0.33,0,0,2000
510,LAMB,58555,87.41,0.58,0,0,2000
511,PACHECO,58534,18.19,1.18,1,0,2000
512,PATRICK,58257,76.02,0.51,0,0,2000
513,COCHRAN,58233,87.03,0.36,0,0,2000
514,SHEPHERD,57935,80.98,0.38,0,0,2000
515,CAIN,57873,80.07,0.49,0,0,2000
516,BURNETT,57859,72.77,0.39,0,0,2000
517,HESS,57822,95.94,0.48,0,0,2000
518,LI,57786,1.28,96.44,1,1,2000
519,CERVANTES,57685,3.96,0.85,1,0,2000
520,OLSEN,57357,95.28,0.64,0,0,2000
521,BRIGGS,57297,77.89,0.43,0,0,2000
522,OCHOA,57210,5.18,0.63,1,0,2000
523,CABRERA,57171,5.48,3.56,1,0,2000
524,VELASQUEZ,57163,5.34,1.74,1,0,2000
525,MONTOYA,57075,8.74,0.83,1,0,2000
526,ROTH,57030,96.27,0.72,0,0,2000
527,MEYERS,56744,91.17,0.67,0,0,2000
528,CARDENAS,56618,5.14,1.04,1,0,2000
529,FUENTES,56441,5.76,1.47,1,0,2000
530,WEISS,56153,96.45,0.47,0,0,2000
531,HOOVER,56068,93.27,0.4,0,0,2000
532,WILKINS,56068,65.2,0.34,0,0,2000
533,NICHOLSON,55986,77.0,0.41,0,0,2000
534,UNDERWOOD,55973,81.0,0.37,0,0,2000
535,SHORT,55903,85.71,0.5,0,0,2000
536,CARSON,55821,74.27,0.53,0,0,2000
